,id,PartType,CardText_CardPriority,CardText_Text,CardText_Color,Manufacturer,DispName,CostMod,RarityMod,Priority,TechMod,AttrMod_Damage_Scale,LinkedPrefix,AttrMod_Recoil_PreAdd,AttrMod_FireRate_PreAdd,AttrMod_ClipSize_Scale,CardMod_Damage,CardMod_Recoil,CardMod_FireRate,CardMod_ClipSize,AttrMod_WeaponLevel_PreAdd,AttrMod_AccRegen_Scale,AttrMod_AccMax_Scale,AttrMod_AccMin_Scale,AttrMod_Recoil_Scale,AttrMod_Spread_Scale,TitleText,AttrMod_ReloadSpeed_Scale,CardMod_Spread,AttrMod_FireRate_Scale,AttrMod_Knockback_Scale,AttrMod_ReloadSpeed_PreAdd,CardMod_ReloadSpeed,AttrMod_ProjectileCount_PreAdd,CardMod_ProjectileCount,AttrMod_CritBonus_Scale,CardMod_CritBonus,TitleAddend,AttrMod_ClipSize_PreAdd,AttrMod_MeleeDamage_Scale,LinkedTitle,Tech1_TechLevel,Tech1_LinkedPrefix,Tech1_TechType,Tech1_ProcChance,Tech1_TechCost,Tech1_Bullet,Tech2_TechLevel,Tech2_LinkedPrefix,Tech2_TechType,Tech2_ProcChance,Tech2_TechCost,Tech2_Bullet,Tech3_TechLevel,Tech3_LinkedPrefix,Tech3_TechType,Tech3_ProcChance,Tech3_TechCost,Tech3_Bullet,Tech4_TechLevel,Tech4_LinkedPrefix,Tech4_TechType,Tech4_ProcChance,Tech4_TechCost,Tech4_Bullet,AttrMod_BurstCount_PreAdd,AttrMod_ProjectileCount_Scale,CardMod_BurstCount,AttrMod_MeleeDamage_PreAdd,CardMod_MeleeDamage,AttrMod_ProjectileCount_PostAdd,AttrMod_CritBonus_PreAdd,AttrMod_AmmoRegen_PostAdd,CardMod_AmmoRegen,AttrMod_ZoomEndFOV_Scale,CardMod_ZoomEndFOV,AttrMod_AccMin_PreAdd,AttrMod_DamageNormalized_Scale,AttrMod_HealthRegen_PostAdd,AttrMod_ShotCost_PreAdd,AttrMod_HealthRegen_PreAdd,CardMod_HealthRegen,AttrMod_ProjectileSpeed_Scale,CardMod_ProjectileSpeed,HelpText,AttrMod_BurstCount_Scale,AttrMod_Spread_PreAdd,AttrMod_AccRegen_PreAdd,AttrMod_AccMax_PostAdd,AttrMod_Knockback_PreAdd,AttrMod_AmmoRegen_Scale,AttrMod_ShotCost_Scale,DamageType,AttrMod_Radius_PreAdd,Spawn,AttrMod_CoolRate_Scale,AttrMod_CoolDelay_Scale
gd_weap_names_shared.Prefix.PrefixU_blank,p018,Prefix,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Starter.Prefix__BrickPistol_Rusty,p019,Prefix,,,,,Rusty,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Starter.Prefix__BrickShotgun_Busted,p020,Prefix,,,,,Busted,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Starter.Prefix__LilithSMG_Simple,p021,Prefix,,,,,Simple,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Starter.Prefix__MordecaiSniper_Old,p022,Prefix,,,,,Old,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTCorrosive1_Corrosive,p023,Prefix,,,,,Corrosive,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTCorrosive2_Caustic,p024,Prefix,,,,,Caustic,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTCorrosive3_Vitriolic,p025,Prefix,,,,,Vitriolic,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTCorrosive4_Pestilent,p026,Prefix,,,,,Pestilent,WeaponPartCost1_Common,WeaponPartRarity1_Common,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTExplosive1_Exploding,p027,Prefix,,,,,Exploding,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTExplosive2_Blast,p028,Prefix,,,,,Blast,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTExplosive3_Detonating,p029,Prefix,,,,,Detonating,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTExplosive4_Erupting,p030,Prefix,,,,,Erupting,WeaponPartCost1_Common,WeaponPartRarity1_Common,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTIncendiary1_Flaming,p031,Prefix,,,,,Flaming,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTIncendiary2_Incendiary,p032,Prefix,,,,,Incendiary,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTIncendiary3_Burning,p033,Prefix,,,,,Burning,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTIncendiary4_Combustion,p034,Prefix,,,,,Combustion,WeaponPartCost1_Common,WeaponPartRarity1_Common,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTShock1_Shock,p035,Prefix,,,,,Shock,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTShock2_Static,p036,Prefix,,,,,Static,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTShock3_Lightning,p037,Prefix,,,,,Lightning,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_names_shared.Prefix_Tech.Prefix_DTShock4_Fulgurating,p038,Prefix,,,,,Fulgurating,WeaponPartCost1_Common,WeaponPartRarity1_Common,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Atlas1_White,p039,Prefix,,,,,White,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Atlas2_Pearl,p040,Prefix,,,,,Pearl,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Dahl1_Urban,p041,Prefix,,,,,Urban,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Dahl2_Desert,p042,Prefix,,,,,Desert,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Hyperion1_Red,p043,Prefix,,,,,Red,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Hyperion2_Crimson,p044,Prefix,,,,,Crimson,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Maliwan1_Blue,p045,Prefix,,,,,Blue,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Maliwan2_Cobalt,p046,Prefix,,,,,Cobalt,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Torque1_Iron,p047,Prefix,,,,,Iron,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.Prefix.Prefix_Torque2_Steel,p048,Prefix,,,,,Steel,WeaponPartCost1_Common,WeaponPartRarity1_Common,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Atlas_1,x001,Material,,,,Atlas,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,1,0.1,p007,0.11,-0.05,0.15,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Atlas_2,x002,Material,,,,Atlas,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,1,0.15,p039,0.11,-0.05,0.15,3,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Atlas_3,x003,Material,,,,Atlas,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,2,0.20,p040,0.11,-0.05,0.15,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Dahl_1,x004,Material,,,,Dahl,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,p008,,,,,3,,,,-0.23,-0.60,0.15,-0.30,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Dahl_2,x005,Material,,,,Dahl,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.05,p041,,,,,3,,,1,-0.23,-0.60,0.10,-0.40,0.15, U,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Dahl_3,x006,Material,,,,Dahl,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.10,p042,,,,,3,,,2,-0.23,-0.60,,-0.80,0.15, D,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Eridan_1,x032,Material,,,,Eridian,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Gearbox_1,x008,Material,,,,Gearbox,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.10,,,,,,,,,,,,,0.20,0.20,-XX,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Gearbox_2,x009,Material,,,,Gearbox,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.15,,,,,,,,,,,,,0.20,0.20,-OP4,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Gearbox_3,x010,Material,,,,Gearbox,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.20,,,,,,,,,,,,,0.20,0.20,-BIA,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Hyperion_1,x011,Material,,,,Hyperion,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,1,,p009,,,,,3,,,,,,-0.50,-0.70,-0.70,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Hyperion_2,x012,Material,,,,Hyperion,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,1,0.05,p043,,,,,3,3,,1,,,,-0.70,-0.85,.W,,3,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Hyperion_3,x013,Material,,,,Hyperion,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,1,0.10,p044,,,,,3,3,,2,,,-0.50,-0.80,-1.0,.G,-0.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Jakobs_1,x014,Material,,,,Jakobs,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.35,p010,,,,3,,,,,,,,0.30,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Jakobs_2,x015,Material,,,,Jakobs,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.25,p010,,,,3,,,,1,,,,0.28,-0.50, ZZ,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Jakobs_3,x016,Material,,,,Jakobs,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.50,p010,,,,3,,,,2,,,,0.45,0.60, XX,,,0.50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Maliwan_1,x017,Material,3.1,High Elemental Effect Chance,,Maliwan,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,4,,p011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
